ID,NAME,DESCRIPTION
ukbench00158,T-shirt with Printed Design,T-shirt in jersey with a printed design.
ukbench00159,Patterned Dress,Short dress in woven fabric with a printed pattern. Smocking at top and narrow adjustable shoulder straps. Unlined.
ukbench00160,Patterned Dress,Short dress in woven fabric with a printed pattern. Smocking at top and narrow adjustable shoulder straps. Unlined.
ukbench00161,Patterned Dress,Short dress in woven fabric with a printed pattern. Smocking at top and narrow adjustable shoulder straps. Unlined.
ukbench00162,Patterned Dress,Short dress in woven fabric with a printed pattern. Smocking at top and narrow adjustable shoulder straps. Unlined.
ukbench00163,Lace Dress,"Sleeveless, fitted dress in lace with a low-cut neckline at back. Jersey lining."
ukbench00164,Jersey Skirt,Short skirt in double-layer jersey with an elasticized waistband.
ukbench00165,Jersey Skirt,Short skirt in double-layer jersey with an elasticized waistband.
ukbench00166,Jersey Skirt,Short skirt in double-layer jersey with an elasticized waistband.
ukbench00167,Jersey Skirt,Short skirt in double-layer jersey with an elasticized waistband.
ukbench00168,Jersey Top,"Top in soft slub jersey with slightly twisted neckline. Chest pocket, short sleeves with sewn cuffs, and rounded hem."
ukbench00169,Jersey Top,"Top in soft slub jersey with slightly twisted neckline. Chest pocket, short sleeves with sewn cuffs, and rounded hem."
ukbench00170,Jersey Top,"Top in soft slub jersey with slightly twisted neckline. Chest pocket, short sleeves with sewn cuffs, and rounded hem."
ukbench00171,Jersey Top,"Top in soft slub jersey with slightly twisted neckline. Chest pocket, short sleeves with sewn cuffs, and rounded hem."
ukbench00172,Jersey Top,"Top in soft slub jersey with slightly twisted neckline. Chest pocket, short sleeves with sewn cuffs, and rounded hem."
ukbench00173,Off-the-shoulder Blouse,Off-the-shoulder blouse in airy woven fabric with a slight sheen. Elastication at neck and long sleeves with long panel at cuffs.
ukbench00174,Off-the-shoulder Top,Off-the-shoulder top in ribbed jersey with short sleeves.
ukbench00175,Crinkled Jumpsuit,"Sleeveless jumpsuit in crinkled woven fabric with a metallic printed pattern. Narrow adjustable shoulder straps, shallow V-neck at front and back, and elasticized seam at waist. Long, wide legs with attached short liner shorts. Lined at top."
ukbench00176,Cut-out Sleeveless Top,"Sleeveless, fitted knit top in thick boucl? yarn. Long style with cut-out sections at waist and short slits at sides."
ukbench00177,Denim Skirt,Skirt in washed denim with snap fasteners at front and side pockets.
ukbench00178,Maxi Dress,Sleeveless maxi dress in jersey with a heavy drape. Low-cut neckline at back.
ukbench00179,Maxi Dress,Sleeveless maxi dress in jersey with a heavy drape. Low-cut neckline at back.
ukbench00180,Ribbed Jersey Bodysuit,Sleeveless bodysuit in ribbed jersey with a low-cut neckline at back.
ukbench00181,Embellished Chiffon Top,Camisole top in crinkled chiffon. Double chain shoulder straps in metal. Detachable metal decoration at front. Slits at sides. Lined.
ukbench00182,Lace Dress,"Short dress in lace with narrow shoulder straps, low-cut V-neck at back, and tie at waist. Lined."
ukbench00183,Imitation Suede Dress,"Sleeveless, fitted dress in imitation suede with braided details. Seam at waist with wide band, concealed side zip, and lined skirt."
ukbench00184,Embroidered Bouse,"Wide-cut blouse in airy woven fabric with embroidery. Low-cut V-neck at back, long trumpet sleeves, and elasticized hem."
ukbench00185,Off-the-shoulder Top,"Short, off-the-shoulder top in jersey with short sleeves."
ukbench00186,Off-the-shoulder Top,"Short, off-the-shoulder top in jersey with short sleeves."
ukbench00187,Denim Shorts,5-pocket shorts in washed denim with heavily distressed details. Sewn cuffs at hems.
ukbench00188,Short-sleeved Top,"Straight-cut top with cap sleeves and front section in slub jersey. Longer back section in textured woven fabric, divided at center and connected by short cords."
ukbench00189,Short-sleeved Top,"Straight-cut top with cap sleeves and front section in slub jersey. Longer back section in textured woven fabric, divided at center and connected by short cords."
ukbench00190,Cotton Blouse,"Blouse in cool cotton twill. Buttons at top, chest pockets with flap, short sleeves with roll-up tab and button, and rounded hem. Slightly longer at back."
ukbench00191,Denim Jacket,"Gently fitted jacket in washed stretch denim. Distressed details, chest pockets with flap and button, and adjustable tabs at sides of hem."
ukbench00192,Linen-blend Top,"V-neck top in soft, linen-blend jersey. Short sleeves with sewn cuffs. Rounded hem."
ukbench00193,Linen-blend Top,"V-neck top in soft, linen-blend jersey. Short sleeves with sewn cuffs. Rounded hem."
ukbench00194,Cotton Skirt,Short skirt in cotton satin with a printed pattern. Elasticized waistband and side pockets. Unlined.
ukbench00195,Denim Bermuda Shorts,"5-pocket, knee-length shorts in washed stretch denim with sewn cuffs at hems."
ukbench00196,Tank Top with Lace Trim,"CONSCIOUS. Tank top in soft, organic cotton jersey. Lace trim at neckline and at armholes."
ukbench00197,Striped Dress,"Short-sleeved, knee-length dress in slightly thicker cotton jersey with lacing at top. Rounded hem."
ukbench00198,Jersey Top,"CONSCIOUS. Short-sleeved, straight-cut top in organic cotton jersey with slightly lower-cut neckline at front."
ukbench00199,Jersey Top,"CONSCIOUS. Short-sleeved, straight-cut top in organic cotton jersey with slightly lower-cut neckline at front."
ukbench00200,Lyocell Cargo Shorts,"CONSCIOUS. Cargo shorts in Tencel? lyocell with a tie belt at waist, patch pockets at front and back, and sewn cuffs at hems."
ukbench00201,Twill Shorts with Belt,"Short, 5-pocket shorts in cotton twill with distressed details and a regular waist. Sewn cuffs at hems. Tie belt with details in imitation leather."
ukbench00202,Ribbed Tank Top,CONSCIOUS. Ribbed tank top in an organic cotton blend.
ukbench00203,Sports Tank Top,"Fitted sports tank top in fast-drying, functional fabric with a racer back."
ukbench00204,Sports Tank Top,"Fitted sports tank top in fast-drying, functional fabric with a racer back."
ukbench00205,Running Shorts,"Lightweight running shorts in fast-drying, breathable functional fabric with extra-wide legs and overlapping side panels for maximum mobility and comfort. Elasticized drawstring waistband with concealed mesh key pocket. Lined with short tights."
ukbench00206,Running Shorts,"Lightweight running shorts in fast-drying, breathable functional fabric with extra-wide legs and overlapping side panels for maximum mobility and comfort. Elasticized drawstring waistband with concealed mesh key pocket. Lined with short tights."
ukbench00207,3/4-length Running Tights,"3/4-length running tights in fast-drying functional fabric. Elastication and concealed drawstring at waist, key pocket on one leg, and reflective details."
ukbench00208,Yoga Top,"Short-sleeved yoga top in fast-drying, functional fabric with gathers at neckline and a ribbed hem. Loose fit."
ukbench00209,MAMA Denim Shorts,Knee-length shorts in washed stretch denim with mock pockets at front and regular pockets at back. Wide ribbing at waist for added comfort.
ukbench00210,MAMA Patterned Dress,"Sleeveless, empire-cut dress in airy, woven fabric with a printed pattern. Elastication and opening at back with concealed button at back of neck."
ukbench00211,MAMA Shirt Dress,"Shirt dress in woven fabric with a printed pattern. Concealed buttons at front, cap sleeves, tie at waist, and rounded hem. Unlined."
ukbench00212,MAMA Sleeveless Blouse,"Sleeveless, A-line blouse in airy, woven fabric. V-neck."
ukbench00213,MAMA Patterned Dress,"Knee-length dress in woven fabric with a printed pattern. Cap sleeves, elasticized seam below bust, and wrap-style front. Pleats on shoulders and decorative pleats at hem. Unlined."
ukbench00214,Wide-leg Jersey Pants,Wide-leg pants in jersey with an elasticized drawstring waistband and side pockets.
